  0.867000000000000    1.4441e-2	0.0069e-2    14.9482758620690     
  0.925000000000000    1.4422e-2	0.0055e-2    15.9482758620690     
  0.983000000000000    1.4402e-2	0.0052e-2    16.9482758620690     
   1.04100000000000    1.4428e-2	0.0051e-2    17.9482758620689     
   1.09950000000000    1.4391e-2	0.0053e-2    18.6355932203390     
   1.14700000000000    1.4386e-2	0.0047e-2    16.3857142857143     
   1.21650000000000    1.4365e-2	0.0045e-2    17.6304347826087     
   1.28550000000000    1.4327e-2	0.0041e-2    18.6304347826086     
   1.35450000000000    1.4582e-2	0.0040e-2    19.6304347826087     
   1.42350000000000    1.4600e-2	0.0043e-2    20.6304347826087     
   1.49250000000000    1.4530e-2	0.0045e-2    21.6304347826087     
   1.56200000000000    1.4475e-2	0.0058e-2    22.3142857142857     
   1.63150000000000    1.4332e-2	0.0055e-2    23.6449275362319     

